0 {81 : 2 , } 
00 {81 : 1 , } 
00am {81 : 1 , } 
00pm {81 : 7 , } 
1 {81 : 2 , } 
10 {81 : 2 , } 
10000 {81 : 1 , } 
109 {81 : 1 , } 
11 {81 : 2 , } 
12 {81 : 4 , } 
13 {81 : 1 , } 
14 {81 : 1 , } 
15 {81 : 1 , } 
16 {81 : 1 , } 
17 {81 : 1 , } 
18 {81 : 2 , } 
19 {81 : 1 , } 
1R6 {81 : 2 , } 
2 {81 : 4 , } 
20 {81 : 1 , } 
200 {81 : 1 , } 
2002 {81 : 1 , } 
2007 {81 : 3 , } 
2012 {81 : 2 , } 
2014 {81 : 1 , } 
2015 {81 : 2 , } 
2016 {81 : 1 , } 
2017 {81 : 3 , } 
2018 {81 : 1 , } 
2019 {81 : 1 , } 
21 {81 : 1 , } 
22 {81 : 2 , } 
23 {81 : 2 , } 
24 {81 : 1 , } 
2424 {81 : 3 , } 
25 {81 : 1 , } 
25am {81 : 1 , } 
26 {81 : 1 , } 
260 {81 : 1 , } 
27 {81 : 1 , } 
28 {81 : 1 , } 
29 {81 : 1 , } 
3 {81 : 2 , } 
30 {81 : 2 , } 
300 {81 : 1 , } 
30am {81 : 1 , } 
3997 {81 : 2 , } 
3999 {81 : 1 , } 
4 {81 : 1 , } 
5 {81 : 7 , } 
514 {81 : 5 , } 
6 {81 : 1 , } 
6nardwZ6Pq {81 : 1 , } 
7 {81 : 4 , } 
7141 {81 : 2 , } 
75 {81 : 1 , } 
8 {81 : 1 , } 
800 {81 : 1 , } 
848 {81 : 5 , } 
9 {81 : 2 , } 
9A {81 : 1 , } 
9th {81 : 1 , } 
APUC {81 : 3 , } 
About {81 : 2 , } 
Account {81 : 1 , } 
Address {81 : 2 , } 
Agreement {81 : 8 , } 
Agreements {81 : 1 , } 
April {81 : 1 , } 
Archive {81 : 1 , } 
Area {81 : 1 , } 
As {81 : 1 , } 
Asked {81 : 1 , } 
Association {81 : 4 , } 
Bixi {81 : 1 , } 
Board {81 : 1 , } 
Bohbot {81 : 1 , } 
Box {81 : 2 , } 
Briand {81 : 1 , } 
Building {81 : 1 , } 
C {81 : 1 , } 
CAUT {81 : 3 , } 
CUFA {81 : 17 , } 
Campus {81 : 1 , } 
Can {81 : 1 , } 
Canadian {81 : 2 , } 
Career {81 : 1 , } 
Chantal {81 : 1 , } 
Classifieds {81 : 1 , } 
Climate {81 : 1 , } 
Collective {81 : 7 , } 
Come {81 : 1 , } 
Committee {81 : 1 , } 
Committees {81 : 1 , } 
Concordia {81 : 4 , } 
Conferences {81 : 1 , } 
Constitution {81 : 1 , } 
Contact {81 : 2 , } 
Copyright {81 : 1 , } 
Council {81 : 3 , } 
D {81 : 1 , } 
Defence {81 : 1 , } 
Directory {81 : 1 , } 
Documents {81 : 2 , } 
EV {81 : 1 , } 
