0 {136 : 9 , } 
035063 {136 : 1 , } 
1 {136 : 3 , } 
1000 {136 : 1 , } 
10220 {136 : 4 , } 
10531 {136 : 2 , } 
1428895017345551 {136 : 1 , } 
1972 {136 : 1 , } 
1982 {136 : 1 , } 
1985 {136 : 1 , } 
1993 {136 : 1 , } 
2 {136 : 1 , } 
2017 {136 : 7 , } 
24 {136 : 1 , } 
30 {136 : 1 , } 
35063 {136 : 1 , } 
40 {136 : 1 , } 
48304425 {136 : 1 , } 
563 {136 : 1 , } 
6035744 {136 : 1 , } 
7 {136 : 1 , } 
959 {136 : 1 , } 
Abitibi {136 : 3 , } 
Ajouter {136 : 1 , } 
Appalaches {136 : 3 , } 
Archives {136 : 2 , } 
Artiste {136 : 1 , } 
Arts {136 : 3 , } 
Asynchronously {136 : 1 , } 
Avis {136 : 1 , } 
Bas {136 : 3 , } 
Baxter {136 : 6 , } 
Biblioth {136 : 2 , } 
Biddle {136 : 5 , } 
Billets {136 : 1 , } 
Bonnie {136 : 6 , } 
Boudreau {136 : 1 , } 
C {136 : 5 , } 
CA {136 : 1 , } 
Cam {136 : 1 , } 
Canada {136 : 1 , } 
Cap {136 : 1 , } 
Capitale {136 : 3 , } 
Capsule {136 : 3 , } 
Capsules {136 : 1 , } 
Caron {136 : 1 , } 
Centre {136 : 3 , } 
Chagnon {136 : 1 , } 
Charles {136 : 5 , } 
Chaudi {136 : 3 , } 
Christina {136 : 1 , } 
Cin {136 : 3 , } 
Combinant {136 : 1 , } 
Commentaires {136 : 1 , } 
Concordia {136 : 2 , } 
Coordination {136 : 1 , } 
Court {136 : 3 , } 
Cr {136 : 1 , } 
Culture {136 : 1 , } 
Culturelle {136 : 1 , } 
Danse {136 : 3 , } 
Date {136 : 2 , } 
David {136 : 1 , } 
Design {136 : 3 , } 
Dossiers {136 : 1 , } 
Elle {136 : 1 , } 
En {136 : 1 , } 
Estrie {136 : 3 , } 
Event {136 : 2 , } 
FB {136 : 3 , } 
Fabrique {136 : 12 , } 
Facebook {136 : 2 , } 
Fils {136 : 1 , } 
Foire {136 : 1 , } 
